	logFC	AveExpr	t	P.Value	adj.P.Val	B
SYNM	-5.7868690582	3.2711090571	-12.0170835799	2.17E-28	6.05E-26	53.7165649794
COX7A1	-3.0764575034	1.4035186239	-12.0092575467	2.32E-28	6.35E-26	53.6481654588
KCND3	-4.2724835589	0.7356030606	-11.9641253343	3.44E-28	9.24E-26	53.2601920329
PAMR1	-3.035711858	1.9999803471	-11.9559396238	3.70E-28	9.74E-26	53.1916473759
GATA6	-3.7422487627	1.1904969842	-11.896598782	6.20E-28	1.60E-25	52.6814117171
VSTM4	-3.1989097808	2.1967504194	-11.885460571	6.83E-28	1.74E-25	52.5865164609
PLN	-5.7365259259	0.2697448262	-11.8684774843	7.92E-28	1.98E-25	52.4284339531
FGF2	-3.6958027013	0.5937458788	-11.8395651527	1.02E-27	2.50E-25	52.1774850941
MBNL1-AS1	-3.041797708	0.8151439512	-11.816851569	1.24E-27	2.99E-25	51.9861123689
CRY2	-1.6338935323	4.0027572264	-11.7738415445	1.80E-27	4.27E-25	51.6016847698
GPRASP1	-2.8033910408	1.3791793279	-11.7108464932	3.11E-27	7.24E-25	51.0925824618
DACT3	-3.7790040526	1.1751796163	-11.6833690763	3.95E-27	9.03E-25	50.8582249163
LYVE1	-3.891269665	0.389472859	-11.6579151664	4.92E-27	1.11E-24	50.6225030494
PDE1A	-3.3953307542	0.3525084885	-11.6357804171	5.95E-27	1.32E-24	50.4078789829
SRPX	-4.2454410016	2.1501564343	-11.6112963769	7.35E-27	1.60E-24	50.2399209174
ITIH5	-3.8531352263	3.0142528567	-11.5863737252	9.11E-27	1.96E-24	50.0091950319
SVEP1	-3.2918759756	2.1059824901	-11.5722038488	1.03E-26	2.18E-24	49.9094915183
SFRP1	-5.5915658255	1.0168299088	-11.567723084	1.07E-26	2.23E-24	49.8771463936
ITM2A	-3.3008816009	1.8067110878	-11.5480786948	1.27E-26	2.60E-24	49.7070087515
SOBP	-3.1892976463	0.8255410945	-11.5052194955	1.83E-26	3.70E-24	49.3377418661
PRUNE2	-5.2358166088	1.1054033463	-11.486312834	2.15E-26	4.29E-24	49.1880446315
KLF9	-3.4438451655	3.7437726538	-11.452060681	2.89E-26	5.68E-24	48.8661258636
DIXDC1	-3.0606647831	2.3263825483	-11.4341341969	3.37E-26	6.53E-24	48.7384780144
FXYD6	-4.274859076	2.0823464003	-11.4316409977	3.44E-26	6.58E-24	48.7179020497
PDZRN3	-3.9075439821	1.8970820556	-11.4032429988	4.38E-26	8.27E-24	48.4824052544
OLFML1	-3.1328051156	1.0831049845	-11.3984370156	4.57E-26	8.50E-24	48.432872198
HSPB7	-5.1098515874	0.7235530578	-11.3899466735	4.91E-26	9.02E-24	48.3753461866
ASB2	-3.5723393955	0.8930430407	-11.3148279676	9.32E-26	1.69E-23	47.7451285441
PRELP	-4.8666815233	2.524234228	-11.3127337632	9.49E-26	1.70E-23	47.7099571176
EBF1	-2.9145064547	1.196852247	-11.299470085	1.06E-25	1.86E-23	47.6140944853
CSGALNACT1	-2.3754046497	2.6232692966	-11.2987461286	1.07E-25	1.86E-23	47.5965004058
LMOD1	-5.52983461	3.1990035087	-11.2944107116	1.11E-25	1.91E-23	47.5552460295
FGF7	-5.3191674563	0.9814509042	-11.2086883214	2.30E-25	3.91E-23	46.8570803284
APOLD1	-3.0032481765	3.7143383189	-11.2029468667	2.41E-25	4.05E-23	46.7663187283
FBXL7	-2.9785089556	1.5464792914	-11.1747420043	3.06E-25	5.09E-23	46.5744397359
CH25H	-3.7005541853	0.3637811297	-11.1424956032	4.02E-25	6.60E-23	46.2843176004
FAXDC2	-2.5575839143	1.6758790458	-11.1270476004	4.58E-25	7.44E-23	46.1751971179
C11orf96	-4.2795368196	3.6437725924	-11.1241720644	4.69E-25	7.53E-23	46.1165645128
SLIT2	-4.3994759846	0.8891331809	-11.1087388754	5.35E-25	8.48E-23	46.0251493958
CRYAB	-4.1958689938	2.7532589858	-11.0706454279	7.37E-25	1.16E-22	45.6797652776
LIMS2	-3.5517712565	3.2666166934	-11.0547239093	8.43E-25	1.31E-22	45.5367699122
KCNMA1	-3.8333340821	1.6371682615	-11.0327877448	1.01E-24	1.56E-22	45.3870672197
PER2	-2.0982147474	3.274425832	-11.0089978229	1.24E-24	1.88E-22	45.1552383199
CGNL1	-3.0340962059	1.6357764066	-10.9958962887	1.38E-24	2.08E-22	45.0834722461
EPHA3	-3.3879792699	1.2264393426	-10.9623498244	1.83E-24	2.72E-22	44.8139654695
CSRNP1	-2.8817492721	4.5036737838	-10.934255296	2.32E-24	3.41E-22	44.5247808964
SLC24A3	-3.7561547941	1.6666803746	-10.9162763999	2.69E-24	3.92E-22	44.4295179537
PLCD4	-1.9631417426	0.9520987014	-10.878585643	3.69E-24	5.31E-22	44.1115626136
IL6	-5.4452117844	0.5417535028	-10.8710675248	3.93E-24	5.60E-22	44.0628670457
EGR2	-3.5593087006	1.808488659	-10.8647230932	4.14E-24	5.84E-22	44.0048227223
MRVI1	-3.5563491998	3.1783207305	-10.8525717871	4.59E-24	6.40E-22	43.8674211149
NR3C2	-3.5727122253	0.3993229603	-10.8440020315	4.93E-24	6.81E-22	43.8401248446
FHL1	-5.1937794415	3.400454004	-10.8396078514	5.11E-24	6.99E-22	43.7703180294
AOC3	-3.9846539135	3.5539629666	-10.8252030271	5.76E-24	7.81E-22	43.6375536318
SYNPO2	-5.604242748	3.7271286315	-10.7918871352	7.60E-24	1.02E-21	43.3828329921
HAAO	-2.6690183929	1.2101537477	-10.7771333123	8.59E-24	1.14E-21	43.2936574987
CILP	-5.569747533	0.7685770624	-10.7053994195	1.56E-23	2.05E-21	42.7080642667
JAM3	-2.9056696822	3.1054276397	-10.6914578761	1.75E-23	2.28E-21	42.5485708527
FLNC	-6.1932306321	3.2295262771	-10.6763777173	1.98E-23	2.56E-21	42.4456935686
SNED1	-2.8149804804	1.5094042689	-10.6413813785	2.65E-23	3.39E-21	42.1880822536
BOC	-3.6605803675	1.6931218067	-10.6291395608	2.93E-23	3.72E-21	42.0806326451
RBPMS2	-3.5387670989	1.4265503573	-10.617718855	3.22E-23	4.05E-21	41.9888670964
LAMA2	-3.0175953919	2.8380329193	-10.6071378239	3.51E-23	4.38E-21	41.8713035973
TNFAIP8L3	-3.5791197192	0.4151681844	-10.5922308305	3.97E-23	4.90E-21	41.7832820306
NXPH3	-3.4317994236	0.4664021388	-10.5854216524	4.20E-23	5.14E-21	41.7292833133
NEXN	-3.3596513917	2.2920999567	-10.4915757714	9.07E-23	1.10E-20	40.9479193974
RNF150	-3.3105251211	0.9033539916	-10.4479274925	1.30E-22	1.55E-20	40.6243576455
DCLK1	-4.1279942405	0.1021455084	-10.4477155583	1.30E-22	1.55E-20	40.6152377824
CFL2	-2.6661382785	3.2759271017	-10.395115886	2.00E-22	2.36E-20	40.1396722034
SORBS1	-4.4206794514	3.4887779353	-10.3755222932	2.34E-22	2.75E-20	39.9856150396
COL14A1	-4.0357360612	3.747818158	-10.361218609	2.63E-22	3.06E-20	39.8651657064
ZCCHC24	-2.9558004833	3.3329967588	-10.3533047992	2.81E-22	3.24E-20	39.80226989
PRKG1	-3.2191148651	1.1692748637	-10.3305571197	3.38E-22	3.87E-20	39.6866631501
FGL2	-3.9141809836	2.7671113631	-10.3192565876	3.70E-22	4.20E-20	39.5384685776
DMD	-3.6102888017	1.7937370985	-10.3181148537	3.74E-22	4.21E-20	39.5583747459
WNT2B	-2.1570359958	1.1867894537	-10.3100877858	3.99E-22	4.45E-20	39.5230281893
ACKR1	-4.9508618494	1.4638725684	-10.2987879165	4.37E-22	4.84E-20	39.4021433097
GSTM5	-4.0313996426	0.2384473741	-10.294492716	4.53E-22	4.95E-20	39.3990505765
GNAO1	-3.5296520522	0.1557537018	-10.2940594721	4.54E-22	4.95E-20	39.3934573626
NR4A1	-4.8409440038	4.9861822173	-10.2896346614	4.71E-22	5.10E-20	39.3136297334
PDE5A	-2.5080086004	2.7878617995	-10.2686807514	5.58E-22	5.99E-20	39.1456237134
CACNA1H	-3.5124889236	2.745081336	-10.2670228539	5.66E-22	6.03E-20	39.1208389803
PKDCC	-4.3119684325	0.886588407	-10.2162166971	8.53E-22	9.02E-20	38.7760827459
SMOC2	-4.2122739371	3.1008198492	-10.1870306493	1.08E-21	1.13E-19	38.4828422437
PPP1R12B	-3.4076773617	4.7506141789	-10.1737598398	1.20E-21	1.25E-19	38.3613403066
RHOJ	-2.3970299647	1.9940326121	-10.147316237	1.49E-21	1.54E-19	38.2175784071
RGS2	-3.9001294567	4.1767645377	-10.1396815843	1.58E-21	1.62E-19	38.0924270134
RBMS3	-2.9952270718	1.5564840395	-10.138605721	1.59E-21	1.63E-19	38.1537442066
DNAJB5	-2.8101597599	2.433311512	-10.1238285932	1.80E-21	1.82E-19	38.0058923301
MSRB3	-3.8331116509	3.1207403368	-10.1182325496	1.88E-21	1.89E-19	37.9377198276
CELF2	-3.1082186094	2.3770426128	-10.1017780919	2.14E-21	2.14E-19	37.8225168945
GRASP	-2.336835681	2.1128701916	-10.0904011261	2.35E-21	2.33E-19	37.7644003823
DTNA	-4.0037137322	0.9058141863	-10.0818919737	2.51E-21	2.47E-19	37.7070350366
EMCN	-2.5141639341	1.9098767165	-10.0525256515	3.18E-21	3.11E-19	37.4643281263
ACACB	-2.4222290233	2.6295776076	-9.994260347	5.07E-21	4.92E-19	36.963986628
MEF2D	-1.2993031653	5.1309815246	-9.9846936492	5.47E-21	5.27E-19	36.8435943306
SORBS2	-3.6296442986	2.7317073823	-9.9789155552	5.73E-21	5.48E-19	36.8334703076
NCALD	-2.4877357981	2.1282326391	-9.9701349154	6.15E-21	5.84E-19	36.8126623277
PRDM6	-3.3550967559	0.7223348538	-9.9642350522	6.44E-21	6.08E-19	36.7927565387
GYPC	-3.1645903628	2.449457885	-9.9603674137	6.64E-21	6.22E-19	36.7161666972
DDR2	-3.4677129795	3.0081078415	-9.9452859736	7.49E-21	6.97E-19	36.5768124052
AKAP6	-3.2247101942	0.232004077	-9.9274258067	8.63E-21	7.97E-19	36.5057622725
INMT	-2.9373491049	0.794336941	-9.92682614	8.67E-21	7.97E-19	36.5032054731
SPON1	-4.2054847268	3.1033618487	-9.9230746284	8.94E-21	8.16E-19	36.4029019123
PPP1R14A	-2.9115580516	1.9155835086	-9.9145880523	9.56E-21	8.67E-19	36.3677678021
RASD1	-3.3832086871	1.4535104055	-9.9111418455	9.83E-21	8.85E-19	36.3633022752
CNN1	-6.7604083622	3.7247546397	-9.8987118925	1.08E-20	9.71E-19	36.2390554552
PRKCB	-3.2305849268	1.5271918232	-9.8912396875	1.15E-20	1.02E-18	36.1936034232
TPSAB1	-3.8839404083	1.2997348231	-9.8844955383	1.21E-20	1.07E-18	36.1548909504
LRRK2	-3.1289846002	0.6523737657	-9.8625562903	1.44E-20	1.27E-18	36.0033688685
GALNT15	-3.6032390804	0.1635965302	-9.8584194878	1.49E-20	1.30E-18	35.9592424709
CLIP3	-3.0668798711	2.7018046977	-9.8545917051	1.54E-20	1.33E-18	35.8742505873
RASGRP2	-2.7789609165	1.0931720673	-9.8407489632	1.72E-20	1.48E-18	35.8277579814
PDLIM3	-4.6323600192	3.4351525399	-9.8220625695	1.99E-20	1.70E-18	35.6127897795
LMO3	-3.7019993327	0.6933588072	-9.8150155611	2.10E-20	1.79E-18	35.617439879
PDE4B	-3.1208426266	1.9788772359	-9.8113990757	2.16E-20	1.83E-18	35.5764789268
CLDN5	-3.0734166369	2.4269082172	-9.8110486033	2.17E-20	1.83E-18	35.5421599022
CBX7	-2.1300115628	3.753355449	-9.8078539265	2.23E-20	1.86E-18	35.4689306645
HMCN2	-3.3402395475	0.2754325697	-9.7263758745	4.23E-20	3.52E-18	34.9498397787
MFAP5	-5.6431085174	0.5040638876	-9.7247115972	4.29E-20	3.54E-18	34.9348520057
DCUN1D3	-1.4813093006	3.2168909961	-9.7172919808	4.54E-20	3.73E-18	34.809180448
PTGIS	-5.5664231911	2.4330623425	-9.7122357606	4.73E-20	3.86E-18	34.7873871377
CNTN1	-5.0605778974	0.7543936675	-9.6912955342	5.57E-20	4.52E-18	34.6623981842
MAP1A	-3.1038007824	2.460893377	-9.6804086329	6.07E-20	4.90E-18	34.5409436504
COLEC12	-4.0211026299	1.8228883867	-9.6778405862	6.19E-20	4.97E-18	34.5440577483
MAGI2-AS3	-2.7039804433	1.4349564193	-9.6760840574	6.28E-20	5.01E-18	34.5534359014
NFASC	-2.7394699402	2.1177774573	-9.6655834854	6.81E-20	5.38E-18	34.424226874
RECK	-2.476073379	1.6019630223	-9.6222121679	9.57E-20	7.50E-18	34.1426318678
WFDC1	-2.8850949299	2.3848949128	-9.6139022802	1.02E-19	7.96E-18	34.0087384108
PER1	-2.8637846366	4.6575172434	-9.5679015919	1.46E-19	1.13E-17	33.6150427115
SGCD	-4.2797712203	0.3651972838	-9.5616608006	1.53E-19	1.18E-17	33.6901075954
CREB5	-3.0667674635	0.5107177205	-9.5555682436	1.61E-19	1.23E-17	33.643732171
PELI2	-2.7621729735	1.7084592018	-9.5462566189	1.73E-19	1.31E-17	33.5314812578
HSD17B6	-2.8986644594	1.0115847587	-9.5460633526	1.73E-19	1.31E-17	33.5663349399
SRF	-1.4404636126	5.4675892377	-9.5459830047	1.73E-19	1.31E-17	33.4373452358
ZEB1	-2.7572321466	3.0279363018	-9.5437263047	1.76E-19	1.32E-17	33.4651212037
BDKRB2	-2.8440651325	2.9848508956	-9.5414995283	1.79E-19	1.34E-17	33.4399607871
JPH2	-3.7630968366	1.645336079	-9.4952978746	2.57E-19	1.91E-17	33.1452821071
MEDAG	-3.5252314673	1.1807936057	-9.4921060499	2.63E-19	1.94E-17	33.1488467427
EDNRB	-2.6996444584	2.1822009452	-9.4254344875	4.41E-19	3.24E-17	32.5934865814
ADAMTS1	-3.9633979112	4.7125252713	-9.4123447141	4.87E-19	3.56E-17	32.4514528644
MPZ	-2.3796221478	0.0840148045	-9.4069367938	5.08E-19	3.69E-17	32.5085396333
CES1	-5.2643031166	1.4749257349	-9.4040992435	5.19E-19	3.76E-17	32.4432961522
HIC1	-2.429410209	2.1988461689	-9.4023660705	5.26E-19	3.79E-17	32.4492168032
FBLN5	-3.051733301	3.277556461	-9.3928286497	5.66E-19	4.06E-17	32.3016690584
SSC5D	-3.5923417562	2.115839647	-9.3823244894	6.14E-19	4.37E-17	32.2867845395
FAM46B	-3.5404573825	1.2650449775	-9.3750334147	6.49E-19	4.60E-17	32.2394348403
TNS1	-4.1730204609	5.3574200871	-9.3574040762	7.44E-19	5.24E-17	32.0445343373
TSPAN7	-3.3495590478	1.6470104513	-9.350699398	7.83E-19	5.49E-17	32.0400693726
NPR1	-2.5641806317	1.6852130708	-9.3064524798	1.10E-18	7.67E-17	31.7324293449
RCC2	1.2743068528	7.4036432204	9.3023874383	1.13E-18	7.88E-17	31.5825649212
KCNE4	-3.2736944595	1.2559137322	-9.2937650291	1.21E-18	8.37E-17	31.658084893
STARD13	-2.3146830593	2.6565882462	-9.2821667002	1.32E-18	9.10E-17	31.5049728537
CNRIP1	-2.5442514791	1.5146587481	-9.2784817889	1.36E-18	9.32E-17	31.5365409821
RAMP1	-3.886986317	1.9106214363	-9.275171337	1.40E-18	9.51E-17	31.4681879865
TNS2	-2.1888989576	4.3923058896	-9.2675258437	1.48E-18	1.00E-16	31.3259226578
TPSB2	-3.8431862878	1.4946219189	-9.258063256	1.59E-18	1.07E-16	31.3507586417
RERG	-2.868805752	0.7987749552	-9.2433897604	1.78E-18	1.19E-16	31.2866440529
LDB2	-2.1278036415	2.1866142702	-9.2278599043	2.00E-18	1.34E-16	31.1323030466
PTGS1	-4.5363279018	3.2200994222	-9.2195945262	2.13E-18	1.42E-16	31.0033248889
PLPP3	-2.2845069647	4.7445460399	-9.2153655463	2.20E-18	1.46E-16	30.9348910062
FILIP1L	-3.2298509283	3.9079168606	-9.205855172	2.37E-18	1.56E-16	30.8780377482
KCNH2	-3.676953079	0.1627960664	-9.1992796869	2.49E-18	1.63E-16	30.9573826463
BNC2	-3.6233672286	0.9941285436	-9.1888736017	2.69E-18	1.76E-16	30.8801690272
SMTN	-2.5973235865	5.6716557609	-9.1840300904	2.80E-18	1.82E-16	30.717986184
CPA3	-3.9200307303	0.9976729577	-9.1782036938	2.92E-18	1.89E-16	30.7826247541
POPDC2	-2.8282575278	0.8427281258	-9.158288407	3.40E-18	2.19E-16	30.6477265074
EPM2A	-1.5632357196	1.4273466322	-9.1571672976	3.43E-18	2.20E-16	30.6442288979
SPARCL1	-3.6988636954	5.6372170756	-9.1501492743	3.61E-18	2.30E-16	30.4868593975
CXCL12	-4.0010188465	3.1696767288	-9.1388564146	3.94E-18	2.50E-16	30.4025093132
ITGA7	-2.9779733929	2.9952274024	-9.1167637625	4.65E-18	2.94E-16	30.2338513926
STON1	-2.4803175039	2.2024781383	-9.1153245124	4.70E-18	2.96E-16	30.2763456102
STARD9	-2.1662590595	1.5812520748	-9.1111307577	4.86E-18	3.04E-16	30.2900018104
CSRP1	-2.6531425842	7.1642277824	-9.1092878099	4.92E-18	3.07E-16	30.1996769387
SLC9A9	-2.3572030569	1.8610989936	-9.1037462062	5.13E-18	3.18E-16	30.2017687074
ITPR1	-2.4239108911	3.434926689	-9.1033821044	5.15E-18	3.18E-16	30.1186079372
MEF2C	-2.2442592663	2.7859452688	-9.0798345627	6.15E-18	3.78E-16	29.9865772168
SYNE1	-2.4893731226	3.7247162418	-9.0789853992	6.19E-18	3.79E-16	29.9253564854
MAP1B	-3.4959790544	3.6941146081	-9.0702596234	6.61E-18	4.03E-16	29.8723085408
ABCC9	-2.8685715934	0.8290120327	-9.0666821972	6.79E-18	4.12E-16	29.9815164905
PRICKLE2	-2.4541256331	2.5964631688	-9.0608354275	7.10E-18	4.29E-16	29.8446419788
ST8SIA1	-2.8972085105	0.2083801058	-9.0500782549	7.69E-18	4.63E-16	29.8620932614
FOXP2	-3.6752742517	0.2012121407	-9.0408937385	8.24E-18	4.94E-16	29.7891437525
GAS7	-3.287674729	2.7830121679	-9.0202298788	9.63E-18	5.75E-16	29.5426965987
SPRY1	-2.2679796978	4.0341340199	-9.0033994478	1.09E-17	6.49E-16	29.3620630688
RNF122	-1.8025455244	2.5296691623	-8.9856543226	1.25E-17	7.38E-16	29.3171770778
TP53INP2	-2.2163035786	4.4113810072	-8.983180889	1.27E-17	7.49E-16	29.2067186015
S1PR1	-2.2751290479	2.6855481076	-8.9817349289	1.29E-17	7.54E-16	29.2663193169
SCN4B	-2.595592892	0.3394323021	-8.9797215277	1.30E-17	7.62E-16	29.3472511403
LAMC3	-2.7084969062	2.559263625	-8.9540734785	1.58E-17	9.20E-16	29.0360637236
CREM	-1.5964716037	3.6611768245	-8.9323816575	1.86E-17	1.08E-15	28.8640893669
GPM6B	-2.1299721	1.3388056081	-8.9142825511	2.13E-17	1.23E-15	28.8503095905
CPXM2	-3.6183904085	2.1927173636	-8.9103969616	2.19E-17	1.26E-15	28.7573143511
PLCB4	-2.9772408204	1.0212262069	-8.9078505969	2.23E-17	1.28E-15	28.7699230471
LEPR	-2.271429482	1.8455432793	-8.8899988041	2.55E-17	1.45E-15	28.6363542072
NBEA	-3.1241272316	0.9043097532	-8.8882575577	2.58E-17	1.47E-15	28.6402015192
TSPAN2	-3.040464905	1.8821477506	-8.8580192085	3.23E-17	1.83E-15	28.3948426642
RCAN1	-2.5633549186	4.6149535934	-8.8531083379	3.35E-17	1.89E-15	28.2550710416
SLIT3	-3.6122591356	3.6882262433	-8.850902441	3.41E-17	1.91E-15	28.2542605884
BAG2	-2.6315998459	2.7876492285	-8.8465070825	3.52E-17	1.97E-15	28.2706665266
SBSPON	-2.9993342926	1.4760152724	-8.8447414566	3.57E-17	1.99E-15	28.3013553885
MYLK	-4.3050322298	5.0938043886	-8.8326536398	3.90E-17	2.16E-15	28.143379739
PLCL1	-2.3940337869	0.1113132502	-8.8316789406	3.93E-17	2.17E-15	28.2646728341
FERMT2	-2.8451177377	3.854517978	-8.8277330964	4.05E-17	2.23E-15	28.082674976
MIR568	-1.7672825833	2.1842987596	-8.8202944642	4.28E-17	2.34E-15	28.1264425969
PRKAR2B	-2.5630105813	2.082331522	-8.8104089942	4.60E-17	2.51E-15	28.0250802582
ZEB2	-2.6059610228	3.2584410708	-8.7956985971	5.13E-17	2.79E-15	27.8747097047
ARHGEF25	-2.5347916459	2.826310772	-8.7841998664	5.59E-17	3.02E-15	27.8184552382
APBB1	-2.6668871757	2.4226258932	-8.7713871029	6.14E-17	3.31E-15	27.7384379665
MFAP4	-4.7289341529	4.1277622484	-8.759711283	6.69E-17	3.59E-15	27.6124985137
KANK2	-2.4624203029	5.2400387198	-8.7197043427	8.98E-17	4.81E-15	27.2883411361
RASL11A	-2.2496680936	1.4897403053	-8.689872925	1.12E-16	5.96E-15	27.1958662511
AQP1	-2.7768907772	5.2950319865	-8.6879392016	1.13E-16	6.02E-15	27.0676283246
HSPA12A	-2.6790091485	0.7438569373	-8.687040567	1.14E-16	6.04E-15	27.2277388816
FAT4	-2.646346305	1.0961620849	-8.6836369407	1.17E-16	6.17E-15	27.1885770278
CCDC69	-2.5650331829	4.2014931371	-8.677997889	1.22E-16	6.39E-15	26.983285264
ADGRA2	-2.8330663265	3.698717391	-8.6777572888	1.22E-16	6.39E-15	27.0008248081
DNAJB4	-1.7757742625	3.2344977314	-8.6766201012	1.23E-16	6.42E-15	27.0208197091
FGFR1	-3.3659877792	3.9932131854	-8.6721084354	1.27E-16	6.61E-15	26.9563686027
SLMAP	-1.8379432241	5.1860850026	-8.6490154329	1.51E-16	7.80E-15	26.7694721125
JAZF1	-2.1341269604	2.3010547179	-8.6455492577	1.55E-16	7.97E-15	26.8633537645
PTGDS	-4.2353073455	3.0243692675	-8.6394151292	1.62E-16	8.31E-15	26.7459301991
FNBP1	-1.9559698831	4.6742597121	-8.6340765441	1.68E-16	8.60E-15	26.6616839714
TSPAN18	-2.6706249224	2.4720632894	-8.6275667079	1.76E-16	8.99E-15	26.6917928651
ESR1	-3.085620058	0.6701533124	-8.625474502	1.79E-16	9.10E-15	26.766522183
SLC22A3	-4.1016776359	-0.1425322602	-8.6141528736	1.95E-16	9.84E-15	26.7121156555
DSTN	-1.6411099089	7.8964732405	-8.6118155166	1.98E-16	9.98E-15	26.5662476362
NTN1	-3.3047024798	1.2433039405	-8.587290665	2.37E-16	1.19E-14	26.47347946
GNG11	-2.2171659996	3.2661753121	-8.576383066	2.56E-16	1.28E-14	26.2896804048
ADRA2A	-3.1026628063	0.5787070107	-8.5608218295	2.87E-16	1.43E-14	26.3278863113
OLFML3	-3.4352189062	3.0919628371	-8.5546259118	3.00E-16	1.49E-14	26.1427407656
AC013461.1	-2.5467555662	4.6570280833	-8.5281364552	3.64E-16	1.80E-14	25.909162932
CCL2	-3.3799397264	3.0067576399	-8.5182467325	3.91E-16	1.93E-14	25.8809257639
